Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1984","1984","3050","FAO TIER 1","kilotonnes","928.8667","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1984","1984","3050","FAO TIER 1","kilotonnes","10.1644","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1985","1985","3050","FAO TIER 1","kilotonnes","941.2404","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1985","1985","3050","FAO TIER 1","kilotonnes","10.3067","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1986","1986","3050","FAO TIER 1","kilotonnes","956.8904","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1986","1986","3050","FAO TIER 1","kilotonnes","10.4732","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1987","1987","3050","FAO TIER 1","kilotonnes","960.3304","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1987","1987","3050","FAO TIER 1","kilotonnes","10.4781","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1988","1988","3050","FAO TIER 1","kilotonnes","972.8679","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1988","1988","3050","FAO TIER 1","kilotonnes","10.6312","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1989","1989","3050","FAO TIER 1","kilotonnes","985.5246","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1989","1989","3050","FAO TIER 1","kilotonnes","10.7869","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1990","1990","3050","FAO TIER 1","kilotonnes","998.8122","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1990","1990","3050","FAO TIER 1","kilotonnes","10.9567","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1991","1991","3050","FAO TIER 1","kilotonnes","1012.1877","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1991","1991","3050","FAO TIER 1","kilotonnes","11.1144","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1992","1992","3050","FAO TIER 1","kilotonnes","1030.2811","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1992","1992","3050","FAO TIER 1","kilotonnes","11.3005","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1993","1993","3050","FAO TIER 1","kilotonnes","1035.513","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1993","1993","3050","FAO TIER 1","kilotonnes","11.3929","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1994","1994","3050","FAO TIER 1","kilotonnes","1042.3262","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1994","1994","3050","FAO TIER 1","kilotonnes","11.4874","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1995","1995","3050","FAO TIER 1","kilotonnes","1048.5784","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1995","1995","3050","FAO TIER 1","kilotonnes","11.5792","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1996","1996","3050","FAO TIER 1","kilotonnes","1055.0822","Fc","Calculated data",""
